,id,hip,hd,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,con,comp,comp_primary,lum
69054,69054,69276.0,123638.0,14.181574,-60.222044999999994,769.2308,-6.75,-1.51,0.0,9.57,0.14,B7II,0.215,-321.39803,-206.520828,-667.658953,-9.5e-06,2.382e-05,-2.8e-06,3.71272742965692,-1.0510729690560026,-3.2724923437500004e-08,-7.320686e-09,Cen,1,69054,76.55966069112566
69066,69066,69287.0,123794.0,14.182819,-46.910806,151.9757,-31.41,1.29,0.0,7.6,1.6909999999999998,F3/F5IV:,0.375,-87.32433499999999,-56.152198999999996,-110.98650500000001,-1.31e-05,1.909e-05,6.5e-07,3.7130533115502007,-0.81874802027666,-1.522799770625e-07,6.254096e-09,Cen,1,69066,18.3484760775554
69078,69078,69300.0,123720.0,14.184107999999998,-55.447697,184.8429,-14.31,-10.43,0.0,7.76,1.426,A4V,0.24100000000000002,-88.159009,-56.73099499999999,-152.238237,-4.7e-07,1.495e-05,-5.3e-06,3.71339073395267,-0.9677448674530776,-6.93768376875e-08,-5.0566066000000005e-08,Cen,1,69078,23.420706947938253
69093,69093,69315.0,124103.0,14.187361,13.5591,155.7632,5.24,-7.26,0.0,9.28,3.318,F,0.37200000000000005,-127.26524599999999,-82.049605,36.518407,1.06e-06,-4.02e-06,-5.33e-06,3.7142424482870733,0.2366509420221113,2.5404236861111107e-08,-3.5197472999999996e-08,Boo,1,69093,4.100152405066132
69105,69105,69327.0,123800.0,14.188884,-54.632185,136.2398,-33.41,-26.54,0.0,8.54,2.8680000000000003,F0IV,0.348,-66.261269,-42.756845,-111.097163,5e-08,2.629e-05,-1.015e-05,3.714641227707807,-0.9535115008585624,-1.619762506736111e-07,-1.2866955e-07,Cen,1,69105,6.205831792990618
69121,69121,69343.0,123909.0,14.192247,-46.696368,625.0,-5.88,-1.12,0.0,9.01,0.031,G6III,0.94,-359.98211000000003,-232.73766600000002,-454.83080199999995,-7.6e-06,1.63e-05,-2.33e-06,3.7155216805633615,-0.8150053725117388,-2.8507044416666663e-08,-5.429913000000001e-09,Cen,1,69121,84.64474480976999
69135,69135,69357.0,124106.0,14.19616,-12.611766000000001,23.3863,-257.49,-179.49,7.6,7.93,6.085,K1V,0.865,-19.152715,-12.410552000000001,-5.1062650000000005,-1.851e-05,2.279e-05,-2.155e-05,3.7165458899659716,-0.22011684418065625,-1.2483467460625002e-06,-8.701920749999999e-07,Vir,1,69135,0.3206269324505465
69151,69151,69373.0,124730.0,14.201122,69.432548,131.2336,-26.12,-49.53,-23.0,5.18,-0.41,M2III,1.595,-38.658394,-25.121085,122.86848,-2.686e-05,2.36e-06,-3.309e-05,3.717844971958333,1.2118265748781192,-1.2663333336111115e-07,-2.40128215e-07,UMi,1,69151,127.0574105208542
69165,69165,69387.0,123709.0,14.203798999999998,-68.798182,719.4245,-34.76,-30.01,0.0,8.88,-0.405,K0/K1III,1.14,-218.067037,-141.922115,-670.728329,1.566e-05,0.00015483,-3.785e-05,3.7185458304391914,-1.2007547960601186,-1.6852123536111115e-07,-1.45492585e-07,Cir,1,69165,126.4736347471151
69176,69176,69398.0,124162.0,14.206824,-24.363352,171.2329,19.9,-5.22,11.0,6.35,0.182,K2III,1.351,-130.667463,-85.188721,-70.637353,1.93e-06,-1.846e-05,-8.59e-06,3.7193377621818215,-0.42522071443864745,9.647792243055555e-08,-2.5307274e-08,Hya,1,69176,73.65462114702305
69191,69191,69413.0,123994.0,14.212163,-58.316591,94.7867,3.34,45.93,0.0,7.51,2.6260000000000003,F7V,0.5329999999999999,-41.666129,-27.247331,-80.659997,-1.419e-05,-1.111e-05,1.108e-05,3.7207355996867983,-1.0178165265944237,1.6192776930555554e-08,2.22674923e-07,Cen,1,69191,7.755324957585906
69202,69202,69424.0,124350.0,14.214684,9.848237,199.6008,5.87,-4.63,0.0,8.8,2.299,K0,1.167,-164.5196,-107.741694,34.139532,2.47e-06,-5.17e-06,-4.41e-06,3.7213954750124265,0.17188416758986128,2.8458563048611115e-08,-2.2446872999999998e-08,Boo,1,69202,10.480934333628731
69214,69214,69436.0,124351.0,14.216292000000001,4.969214,327.8689,11.41,-3.05,0.0,9.3,1.7209999999999999,K,1.099,-273.17922200000004,-179.065796,28.400156,9.59e-06,-1.54e-05,-4.83e-06,3.7218164400258575,0.08672914961535126,5.5317240951388884e-08,-1.4786816999999998e-08,Vir,1,69214,17.848429164980065
69235,69235,69457.0,123641.0,14.220348000000001,-75.202683,60.0962,55.89,44.65,0.0,8.91,5.016,G5V,0.659,-12.827645,-8.427989,-58.103131000000005,-1.57e-06,-2.051e-05,3.32e-06,3.722878501920703,-1.312534430893555,2.709623660625e-07,2.1646930800000004e-07,Aps,1,69235,0.8582227050540148
69249,69249,69471.0,124818.0,14.222789,62.70463,324.6753,-19.1,18.22,0.0,7.85,0.293,F0,0.349,-124.382777,-81.83409499999999,288.5241,4.77e-06,3.912e-05,1.315e-05,3.723517360755136,1.094402253914205,-9.259941298611113e-08,8.8333052e-08,Dra,1,69249,66.49668571246755
69264,69264,69486.0,124374.0,14.225917,-12.94242,278.5515,-1.71,-38.15,0.0,9.26,2.035,F7/F8V,0.5479999999999999,-226.66971800000002,-149.397311,-62.387665000000005,8.36e-06,8.28e-06,-5.021e-05,3.724336331459753,-0.22588785036866624,-8.2903139375e-09,-1.84956419e-07,Vir,1,69264,13.36595516546442
69275,69275,69497.0,124443.0,14.228304000000001,0.711364,418.41,-13.52,-7.81,0.0,9.06,0.9520000000000001,K,1.035,-349.18303399999996,-230.45857,5.194694,-1.527e-05,2.278e-05,-1.584e-05,3.724961206465416,0.012415639690455,-6.55468096111111e-08,-3.7863948e-08,Vir,1,69275,36.240985589974414
69289,69289,69511.0,124533.0,14.229842000000001,20.03029,148.1481,-54.72,-24.46,0.0,8.99,3.137,G,0.428,-116.136132,-76.71625300000001,50.743223,-2.668e-05,2.947e-05,-1.65e-05,3.7253640017120975,0.3495945033775225,-2.65290046e-07,-1.18585426e-07,Boo,1,69289,4.8439538854784026
